theta_deg,phi_deg,gain_dBi
0,0,-40
0,5,-40
0,10,-40
0,15,-40
0,20,-40
0,25,-40
0,30,-40
0,35,-40
0,40,-40
0,45,-40
0,50,-40
0,55,-40
0,60,-40
0,65,-40
0,70,-40
0,75,-40
0,80,-40
0,85,-40
0,90,-40
0,95,-40
0,100,-40
0,105,-40
0,110,-40
0,115,-40
0,120,-40
0,125,-40
0,130,-40
0,135,-40
0,140,-40
0,145,-40
0,150,-40
0,155,-40
0,160,-40
0,165,-40
0,170,-40
0,175,-40
0,180,-40
0,185,-40
0,190,-40
0,195,-40
0,200,-40
0,205,-40
0,210,-40
0,215,-40
0,220,-40
0,225,-40
0,230,-40
0,235,-40
0,240,-40
0,245,-40
0,250,-40
0,255,-40
0,260,-40
0,265,-40
0,270,-40
0,275,-40
0,280,-40
0,285,-40
0,290,-40
0,295,-40
0,300,-40
0,305,-40
0,310,-40
0,315,-40
0,320,-40
0,325,-40
0,330,-40
0,335,-40
0,340,-40
0,345,-40
0,350,-40
0,355,-40
0,360,-40
2,0,-29.091
2,5,-29.091
2,10,-29.091
2,15,-29.091
2,20,-29.091
2,25,-29.091
2,30,-29.091
2,35,-29.091
2,40,-29.091
2,45,-29.091
2,50,-29.091
2,55,-29.091
2,60,-29.091
2,65,-29.091
2,70,-29.091
2,75,-29.091
2,80,-29.091
2,85,-29.091
2,90,-29.091
2,95,-29.091
2,100,-29.091
2,105,-29.091
2,110,-29.091
2,115,-29.091
2,120,-29.091
2,125,-29.091
2,130,-29.091
2,135,-29.091
2,140,-29.091
2,145,-29.091
2,150,-29.091
2,155,-29.091
2,160,-29.091
2,165,-29.091
2,170,-29.091
2,175,-29.091
2,180,-29.091
2,185,-29.091
2,190,-29.091
2,195,-29.091
2,200,-29.091
2,205,-29.091
2,210,-29.091
2,215,-29.091
2,220,-29.091
2,225,-29.091
2,230,-29.091
2,235,-29.091
2,240,-29.091
2,245,-29.091
2,250,-29.091
2,255,-29.091
2,260,-29.091
2,265,-29.091
2,270,-29.091
2,275,-29.091
2,280,-29.091
2,285,-29.091
2,290,-29.091
2,295,-29.091
2,300,-29.091
2,305,-29.091
2,310,-29.091
2,315,-29.091
2,320,-29.091
2,325,-29.091
2,330,-29.091
2,335,-29.091
2,340,-29.091
2,345,-29.091
2,350,-29.091
2,355,-29.091
2,360,-29.091
4,0,-23.068
4,5,-23.068
4,10,-23.068
4,15,-23.068
4,20,-23.068
4,25,-23.068
4,30,-23.068
4,35,-23.068
4,40,-23.068
4,45,-23.068
4,50,-23.068
4,55,-23.068
4,60,-23.068
4,65,-23.068
4,70,-23.068
4,75,-23.068
4,80,-23.068
4,85,-23.068
4,90,-23.068
4,95,-23.068
4,100,-23.068
4,105,-23.068
4,110,-23.068
4,115,-23.068
4,120,-23.068
4,125,-23.068
4,130,-23.068
4,135,-23.068
4,140,-23.068
4,145,-23.068
4,150,-23.068
4,155,-23.068
4,160,-23.068
4,165,-23.068
4,170,-23.068
4,175,-23.068
4,180,-23.068
4,185,-23.068
4,190,-23.068
4,195,-23.068
4,200,-23.068
4,205,-23.068
4,210,-23.068
4,215,-23.068
4,220,-23.068
4,225,-23.068
4,230,-23.068
4,235,-23.068
4,240,-23.068
4,245,-23.068
4,250,-23.068
4,255,-23.068
4,260,-23.068
4,265,-23.068
4,270,-23.068
4,275,-23.068
4,280,-23.068
4,285,-23.068
4,290,-23.068
4,295,-23.068
4,300,-23.068
4,305,-23.068
4,310,-23.068
4,315,-23.068
4,320,-23.068
4,325,-23.068
4,330,-23.068
4,335,-23.068
4,340,-23.068
4,345,-23.068
4,350,-23.068
4,355,-23.068
4,360,-23.068
6,0,-19.541
6,5,-19.541
6,10,-19.541
6,15,-19.541
6,20,-19.541
6,25,-19.541
6,30,-19.541
6,35,-19.541
6,40,-19.541
6,45,-19.541
6,50,-19.541
6,55,-19.541
6,60,-19.541
6,65,-19.541
6,70,-19.541
6,75,-19.541
6,80,-19.541
6,85,-19.541
6,90,-19.541
6,95,-19.541
6,100,-19.541
6,105,-19.541
6,110,-19.541
6,115,-19.541
6,120,-19.541
6,125,-19.541
6,130,-19.541
6,135,-19.541
6,140,-19.541
6,145,-19.541
6,150,-19.541
6,155,-19.541
6,160,-19.541
6,165,-19.541
6,170,-19.541
6,175,-19.541
6,180,-19.541
6,185,-19.541
6,190,-19.541
6,195,-19.541
6,200,-19.541
6,205,-19.541
6,210,-19.541
6,215,-19.541
6,220,-19.541
6,225,-19.541
6,230,-19.541
6,235,-19.541
6,240,-19.541
6,245,-19.541
6,250,-19.541
6,255,-19.541
6,260,-19.541
6,265,-19.541
6,270,-19.541
6,275,-19.541
6,280,-19.541
6,285,-19.541
6,290,-19.541
6,295,-19.541
6,300,-19.541
6,305,-19.541
6,310,-19.541
6,315,-19.541
6,320,-19.541
6,325,-19.541
6,330,-19.541
6,335,-19.541
6,340,-19.541
6,345,-19.541
6,350,-19.541
6,355,-19.541
6,360,-19.541
8,0,-17.037
8,5,-17.037
8,10,-17.037
8,15,-17.037
8,20,-17.037
8,25,-17.037
8,30,-17.037
8,35,-17.037
8,40,-17.037
8,45,-17.037
8,50,-17.037
8,55,-17.037
8,60,-17.037
8,65,-17.037
8,70,-17.037
8,75,-17.037
8,80,-17.037
8,85,-17.037
8,90,-17.037
8,95,-17.037
8,100,-17.037
8,105,-17.037
8,110,-17.037
8,115,-17.037
8,120,-17.037
8,125,-17.037
8,130,-17.037
8,135,-17.037
8,140,-17.037
8,145,-17.037
8,150,-17.037
8,155,-17.037
8,160,-17.037
8,165,-17.037
8,170,-17.037
8,175,-17.037
8,180,-17.037
8,185,-17.037
8,190,-17.037
8,195,-17.037
8,200,-17.037
8,205,-17.037
8,210,-17.037
8,215,-17.037
8,220,-17.037
8,225,-17.037
8,230,-17.037
8,235,-17.037
8,240,-17.037
8,245,-17.037
8,250,-17.037
8,255,-17.037
8,260,-17.037
8,265,-17.037
8,270,-17.037
8,275,-17.037
8,280,-17.037
8,285,-17.037
8,290,-17.037
8,295,-17.037
8,300,-17.037
8,305,-17.037
8,310,-17.037
8,315,-17.037
8,320,-17.037
8,325,-17.037
8,330,-17.037
8,335,-17.037
8,340,-17.037
8,345,-17.037
8,350,-17.037
8,355,-17.037
8,360,-17.037
10,0,-15.091
10,5,-15.091
10,10,-15.091
10,15,-15.091
10,20,-15.091
10,25,-15.091
10,30,-15.091
10,35,-15.091
10,40,-15.091
10,45,-15.091
10,50,-15.091
10,55,-15.091
10,60,-15.091
10,65,-15.091
10,70,-15.091
10,75,-15.091
10,80,-15.091
10,85,-15.091
10,90,-15.091
10,95,-15.091
10,100,-15.091
10,105,-15.091
10,110,-15.091
10,115,-15.091
10,120,-15.091
10,125,-15.091
10,130,-15.091
10,135,-15.091
10,140,-15.091
10,145,-15.091
10,150,-15.091
10,155,-15.091
10,160,-15.091
10,165,-15.091
10,170,-15.091
10,175,-15.091
10,180,-15.091
10,185,-15.091
10,190,-15.091
10,195,-15.091
10,200,-15.091
10,205,-15.091
10,210,-15.091
10,215,-15.091
10,220,-15.091
10,225,-15.091
10,230,-15.091
10,235,-15.091
10,240,-15.091
10,245,-15.091
10,250,-15.091
10,255,-15.091
10,260,-15.091
10,265,-15.091
10,270,-15.091
10,275,-15.091
10,280,-15.091
10,285,-15.091
10,290,-15.091
10,295,-15.091
10,300,-15.091
10,305,-15.091
10,310,-15.091
10,315,-15.091
10,320,-15.091
10,325,-15.091
10,330,-15.091
10,335,-15.091
10,340,-15.091
10,345,-15.091
10,350,-15.091
10,355,-15.091
10,360,-15.091
12,0,-13.498
12,5,-13.498
12,10,-13.498
12,15,-13.498
12,20,-13.498
12,25,-13.498
12,30,-13.498
12,35,-13.498
12,40,-13.498
12,45,-13.498
12,50,-13.498
12,55,-13.498
12,60,-13.498
12,65,-13.498
12,70,-13.498
12,75,-13.498
12,80,-13.498
12,85,-13.498
12,90,-13.498
12,95,-13.498
12,100,-13.498
12,105,-13.498
12,110,-13.498
12,115,-13.498
12,120,-13.498
12,125,-13.498
12,130,-13.498
12,135,-13.498
12,140,-13.498
12,145,-13.498
12,150,-13.498
12,155,-13.498
12,160,-13.498
12,165,-13.498
12,170,-13.498
12,175,-13.498
12,180,-13.498
12,185,-13.498
12,190,-13.498
12,195,-13.498
12,200,-13.498
12,205,-13.498
12,210,-13.498
12,215,-13.498
12,220,-13.498
12,225,-13.498
12,230,-13.498
12,235,-13.498
12,240,-13.498
12,245,-13.498
12,250,-13.498
12,255,-13.498
12,260,-13.498
12,265,-13.498
12,270,-13.498
12,275,-13.498
12,280,-13.498
12,285,-13.498
12,290,-13.498
12,295,-13.498
12,300,-13.498
12,305,-13.498
12,310,-13.498
12,315,-13.498
12,320,-13.498
12,325,-13.498
12,330,-13.498
12,335,-13.498
12,340,-13.498
12,345,-13.498
12,350,-13.498
12,355,-13.498
12,360,-13.498
14,0,-12.149
14,5,-12.149
14,10,-12.149
14,15,-12.149
14,20,-12.149
14,25,-12.149
14,30,-12.149
14,35,-12.149
14,40,-12.149
14,45,-12.149
14,50,-12.149
14,55,-12.149
14,60,-12.149
14,65,-12.149
14,70,-12.149
14,75,-12.149
14,80,-12.149
14,85,-12.149
14,90,-12.149
14,95,-12.149
14,100,-12.149
14,105,-12.149
14,110,-12.149
14,115,-12.149
14,120,-12.149
14,125,-12.149
14,130,-12.149
14,135,-12.149
14,140,-12.149
14,145,-12.149
14,150,-12.149
14,155,-12.149
14,160,-12.149
14,165,-12.149
14,170,-12.149
14,175,-12.149
14,180,-12.149
14,185,-12.149
14,190,-12.149
14,195,-12.149
14,200,-12.149
14,205,-12.149
14,210,-12.149
14,215,-12.149
14,220,-12.149
14,225,-12.149
14,230,-12.149
14,235,-12.149
14,240,-12.149
14,245,-12.149
14,250,-12.149
14,255,-12.149
14,260,-12.149
14,265,-12.149
14,270,-12.149
14,275,-12.149
14,280,-12.149
14,285,-12.149
14,290,-12.149
14,295,-12.149
14,300,-12.149
14,305,-12.149
14,310,-12.149
14,315,-12.149
14,320,-12.149
14,325,-12.149
14,330,-12.149
14,335,-12.149
14,340,-12.149
14,345,-12.149
14,350,-12.149
14,355,-12.149
14,360,-12.149
16,0,-10.978
16,5,-10.978
16,10,-10.978
16,15,-10.978
16,20,-10.978
16,25,-10.978
16,30,-10.978
16,35,-10.978
16,40,-10.978
16,45,-10.978
16,50,-10.978
16,55,-10.978
16,60,-10.978
16,65,-10.978
16,70,-10.978
16,75,-10.978
16,80,-10.978
16,85,-10.978
16,90,-10.978
16,95,-10.978
16,100,-10.978
16,105,-10.978
16,110,-10.978
16,115,-10.978
16,120,-10.978
16,125,-10.978
16,130,-10.978
16,135,-10.978
16,140,-10.978
16,145,-10.978
16,150,-10.978
16,155,-10.978
16,160,-10.978
16,165,-10.978
16,170,-10.978
16,175,-10.978
16,180,-10.978
16,185,-10.978
16,190,-10.978
16,195,-10.978
16,200,-10.978
16,205,-10.978
16,210,-10.978
16,215,-10.978
16,220,-10.978
16,225,-10.978
16,230,-10.978
16,235,-10.978
16,240,-10.978
16,245,-10.978
16,250,-10.978
16,255,-10.978
16,260,-10.978
16,265,-10.978
16,270,-10.978
16,275,-10.978
16,280,-10.978
16,285,-10.978
16,290,-10.978
16,295,-10.978
16,300,-10.978
16,305,-10.978
16,310,-10.978
16,315,-10.978
16,320,-10.978
16,325,-10.978
16,330,-10.978
16,335,-10.978
16,340,-10.978
16,345,-10.978
16,350,-10.978
16,355,-10.978
16,360,-10.978
18,0,-9.943
18,5,-9.943
18,10,-9.943
18,15,-9.943
18,20,-9.943
18,25,-9.943
18,30,-9.943
18,35,-9.943
18,40,-9.943
18,45,-9.943
18,50,-9.943
18,55,-9.943
18,60,-9.943
18,65,-9.943
18,70,-9.943
18,75,-9.943
18,80,-9.943
18,85,-9.943
18,90,-9.943
18,95,-9.943
18,100,-9.943
18,105,-9.943
18,110,-9.943
18,115,-9.943
18,120,-9.943
18,125,-9.943
18,130,-9.943
18,135,-9.943
18,140,-9.943
18,145,-9.943
18,150,-9.943
18,155,-9.943
18,160,-9.943
18,165,-9.943
18,170,-9.943
18,175,-9.943
18,180,-9.943
18,185,-9.943
18,190,-9.943
18,195,-9.943
18,200,-9.943
18,205,-9.943
18,210,-9.943
18,215,-9.943
18,220,-9.943
18,225,-9.943
18,230,-9.943
18,235,-9.943
18,240,-9.943
18,245,-9.943
18,250,-9.943
18,255,-9.943
18,260,-9.943
18,265,-9.943
18,270,-9.943
18,275,-9.943
18,280,-9.943
18,285,-9.943
18,290,-9.943
18,295,-9.943
18,300,-9.943
18,305,-9.943
18,310,-9.943
18,315,-9.943
18,320,-9.943
18,325,-9.943
18,330,-9.943
18,335,-9.943
18,340,-9.943
18,345,-9.943
18,350,-9.943
18,355,-9.943
18,360,-9.943
20,0,-9.016
20,5,-9.016
20,10,-9.016
20,15,-9.016
20,20,-9.016
20,25,-9.016
20,30,-9.016
20,35,-9.016
20,40,-9.016
20,45,-9.016
20,50,-9.016
20,55,-9.016
20,60,-9.016
20,65,-9.016
20,70,-9.016
20,75,-9.016
20,80,-9.016
20,85,-9.016
20,90,-9.016
20,95,-9.016
20,100,-9.016
20,105,-9.016
20,110,-9.016
20,115,-9.016
20,120,-9.016
20,125,-9.016
20,130,-9.016
20,135,-9.016
20,140,-9.016
20,145,-9.016
20,150,-9.016
20,155,-9.016
20,160,-9.016
20,165,-9.016
20,170,-9.016
20,175,-9.016
20,180,-9.016
20,185,-9.016
20,190,-9.016
20,195,-9.016
20,200,-9.016
20,205,-9.016
20,210,-9.016
20,215,-9.016
20,220,-9.016
20,225,-9.016
20,230,-9.016
20,235,-9.016
20,240,-9.016
20,245,-9.016
20,250,-9.016
20,255,-9.016
20,260,-9.016
20,265,-9.016
20,270,-9.016
20,275,-9.016
20,280,-9.016
20,285,-9.016
20,290,-9.016
20,295,-9.016
20,300,-9.016
20,305,-9.016
20,310,-9.016
20,315,-9.016
20,320,-9.016
20,325,-9.016
20,330,-9.016
20,335,-9.016
20,340,-9.016
20,345,-9.016
20,350,-9.016
20,355,-9.016
20,360,-9.016
22,0,-8.175
22,5,-8.175
22,10,-8.175
22,15,-8.175
22,20,-8.175
22,25,-8.175
22,30,-8.175
22,35,-8.175
22,40,-8.175
22,45,-8.175
22,50,-8.175
22,55,-8.175
22,60,-8.175
22,65,-8.175
22,70,-8.175
22,75,-8.175
22,80,-8.175
22,85,-8.175
22,90,-8.175
22,95,-8.175
22,100,-8.175
22,105,-8.175
22,110,-8.175
22,115,-8.175
22,120,-8.175
22,125,-8.175
22,130,-8.175
22,135,-8.175
22,140,-8.175
22,145,-8.175
22,150,-8.175
22,155,-8.175
22,160,-8.175
22,165,-8.175
22,170,-8.175
22,175,-8.175
22,180,-8.175
22,185,-8.175
22,190,-8.175
22,195,-8.175
22,200,-8.175
22,205,-8.175
22,210,-8.175
22,215,-8.175
22,220,-8.175
22,225,-8.175
22,230,-8.175
22,235,-8.175
22,240,-8.175
22,245,-8.175
22,250,-8.175
22,255,-8.175
22,260,-8.175
22,265,-8.175
22,270,-8.175
22,275,-8.175
22,280,-8.175
22,285,-8.175
22,290,-8.175
22,295,-8.175
22,300,-8.175
22,305,-8.175
22,310,-8.175
22,315,-8.175
22,320,-8.175
22,325,-8.175
22,330,-8.175
22,335,-8.175
22,340,-8.175
22,345,-8.175
22,350,-8.175
22,355,-8.175
22,360,-8.175
24,0,-7.406
24,5,-7.406
24,10,-7.406
24,15,-7.406
24,20,-7.406
24,25,-7.406
24,30,-7.406
24,35,-7.406
24,40,-7.406
24,45,-7.406
24,50,-7.406
24,55,-7.406
24,60,-7.406
24,65,-7.406
24,70,-7.406
24,75,-7.406
24,80,-7.406
24,85,-7.406
24,90,-7.406
24,95,-7.406
24,100,-7.406
24,105,-7.406
24,110,-7.406
24,115,-7.406
24,120,-7.406
24,125,-7.406
24,130,-7.406
24,135,-7.406
24,140,-7.406
24,145,-7.406
24,150,-7.406
24,155,-7.406
24,160,-7.406
24,165,-7.406
24,170,-7.406
24,175,-7.406
24,180,-7.406
24,185,-7.406
24,190,-7.406
24,195,-7.406
24,200,-7.406
24,205,-7.406
24,210,-7.406
24,215,-7.406
24,220,-7.406
24,225,-7.406
24,230,-7.406
24,235,-7.406
24,240,-7.406
24,245,-7.406
24,250,-7.406
24,255,-7.406
24,260,-7.406
24,265,-7.406
24,270,-7.406
24,275,-7.406
24,280,-7.406
24,285,-7.406
24,290,-7.406
24,295,-7.406
24,300,-7.406
24,305,-7.406
24,310,-7.406
24,315,-7.406
24,320,-7.406
24,325,-7.406
24,330,-7.406
24,335,-7.406
24,340,-7.406
24,345,-7.406
24,350,-7.406
24,355,-7.406
24,360,-7.406
26,0,-6.698
26,5,-6.698
26,10,-6.698
26,15,-6.698
26,20,-6.698
26,25,-6.698
26,30,-6.698
26,35,-6.698
26,40,-6.698
26,45,-6.698
26,50,-6.698
26,55,-6.698
26,60,-6.698
26,65,-6.698
26,70,-6.698
26,75,-6.698
26,80,-6.698
26,85,-6.698
26,90,-6.698
26,95,-6.698
26,100,-6.698
26,105,-6.698
26,110,-6.698
26,115,-6.698
26,120,-6.698
26,125,-6.698
26,130,-6.698
26,135,-6.698
26,140,-6.698
26,145,-6.698
26,150,-6.698
26,155,-6.698
26,160,-6.698
26,165,-6.698
26,170,-6.698
26,175,-6.698
26,180,-6.698
26,185,-6.698
26,190,-6.698
26,195,-6.698
26,200,-6.698
26,205,-6.698
26,210,-6.698
26,215,-6.698
26,220,-6.698
26,225,-6.698
26,230,-6.698
26,235,-6.698
26,240,-6.698
26,245,-6.698
26,250,-6.698
26,255,-6.698
26,260,-6.698
26,265,-6.698
26,270,-6.698
26,275,-6.698
26,280,-6.698
26,285,-6.698
26,290,-6.698
26,295,-6.698
26,300,-6.698
26,305,-6.698
26,310,-6.698
26,315,-6.698
26,320,-6.698
26,325,-6.698
26,330,-6.698
26,335,-6.698
26,340,-6.698
26,345,-6.698
26,350,-6.698
26,355,-6.698
26,360,-6.698
28,0,-6.043
28,5,-6.043
28,10,-6.043
28,15,-6.043
28,20,-6.043
28,25,-6.043
28,30,-6.043
28,35,-6.043
28,40,-6.043
28,45,-6.043
28,50,-6.043
28,55,-6.043
28,60,-6.043
28,65,-6.043
28,70,-6.043
28,75,-6.043
28,80,-6.043
28,85,-6.043
28,90,-6.043
28,95,-6.043
28,100,-6.043
28,105,-6.043
28,110,-6.043
28,115,-6.043
28,120,-6.043
28,125,-6.043
28,130,-6.043
28,135,-6.043
28,140,-6.043
28,145,-6.043
28,150,-6.043
28,155,-6.043
28,160,-6.043
28,165,-6.043
28,170,-6.043
28,175,-6.043
28,180,-6.043
28,185,-6.043
28,190,-6.043
28,195,-6.043
28,200,-6.043
28,205,-6.043
28,210,-6.043
28,215,-6.043
28,220,-6.043
28,225,-6.043
28,230,-6.043
28,235,-6.043
28,240,-6.043
28,245,-6.043
28,250,-6.043
28,255,-6.043
28,260,-6.043
28,265,-6.043
28,270,-6.043
28,275,-6.043
28,280,-6.043
28,285,-6.043
28,290,-6.043
28,295,-6.043
28,300,-6.043
28,305,-6.043
28,310,-6.043
28,315,-6.043
28,320,-6.043
28,325,-6.043
28,330,-6.043
28,335,-6.043
28,340,-6.043
28,345,-6.043
28,350,-6.043
28,355,-6.043
28,360,-6.043
30,0,-5.432
30,5,-5.432
30,10,-5.432
30,15,-5.432
30,20,-5.432
30,25,-5.432
30,30,-5.432
30,35,-5.432
30,40,-5.432
30,45,-5.432
30,50,-5.432
30,55,-5.432
30,60,-5.432
30,65,-5.432
30,70,-5.432
30,75,-5.432
30,80,-5.432
30,85,-5.432
30,90,-5.432
30,95,-5.432
30,100,-5.432
30,105,-5.432
30,110,-5.432
30,115,-5.432
30,120,-5.432
30,125,-5.432
30,130,-5.432
30,135,-5.432
30,140,-5.432
30,145,-5.432
30,150,-5.432
30,155,-5.432
30,160,-5.432
30,165,-5.432
30,170,-5.432
30,175,-5.432
30,180,-5.432
30,185,-5.432
30,190,-5.432
30,195,-5.432
30,200,-5.432
30,205,-5.432
30,210,-5.432
30,215,-5.432
30,220,-5.432
30,225,-5.432
30,230,-5.432
30,235,-5.432
30,240,-5.432
30,245,-5.432
30,250,-5.432
30,255,-5.432
30,260,-5.432
30,265,-5.432
30,270,-5.432
30,275,-5.432
30,280,-5.432
30,285,-5.432
30,290,-5.432
30,295,-5.432
30,300,-5.432
30,305,-5.432
30,310,-5.432
30,315,-5.432
30,320,-5.432
30,325,-5.432
30,330,-5.432
30,335,-5.432
30,340,-5.432
30,345,-5.432
30,350,-5.432
30,355,-5.432
30,360,-5.432
32,0,-4.862
32,5,-4.862
32,10,-4.862
32,15,-4.862
32,20,-4.862
32,25,-4.862
32,30,-4.862
32,35,-4.862
32,40,-4.862
32,45,-4.862
32,50,-4.862
32,55,-4.862
32,60,-4.862
32,65,-4.862
32,70,-4.862
32,75,-4.862
32,80,-4.862
32,85,-4.862
32,90,-4.862
32,95,-4.862
32,100,-4.862
32,105,-4.862
32,110,-4.862
32,115,-4.862
32,120,-4.862
32,125,-4.862
32,130,-4.862
32,135,-4.862
32,140,-4.862
32,145,-4.862
32,150,-4.862
32,155,-4.862
32,160,-4.862
32,165,-4.862
32,170,-4.862
32,175,-4.862
32,180,-4.862
32,185,-4.862
32,190,-4.862
32,195,-4.862
32,200,-4.862
32,205,-4.862
32,210,-4.862
32,215,-4.862
32,220,-4.862
32,225,-4.862
32,230,-4.862
32,235,-4.862
32,240,-4.862
32,245,-4.862
32,250,-4.862
32,255,-4.862
32,260,-4.862
32,265,-4.862
32,270,-4.862
32,275,-4.862
32,280,-4.862
32,285,-4.862
32,290,-4.862
32,295,-4.862
32,300,-4.862
32,305,-4.862
32,310,-4.862
32,315,-4.862
32,320,-4.862
32,325,-4.862
32,330,-4.862
32,335,-4.862
32,340,-4.862
32,345,-4.862
32,350,-4.862
32,355,-4.862
32,360,-4.862
34,0,-4.327
34,5,-4.327
34,10,-4.327
34,15,-4.327
34,20,-4.327
34,25,-4.327
34,30,-4.327
34,35,-4.327
34,40,-4.327
34,45,-4.327
34,50,-4.327
34,55,-4.327
34,60,-4.327
34,65,-4.327
34,70,-4.327
34,75,-4.327
34,80,-4.327
34,85,-4.327
34,90,-4.327
34,95,-4.327
34,100,-4.327
34,105,-4.327
34,110,-4.327
34,115,-4.327
34,120,-4.327
34,125,-4.327
34,130,-4.327
34,135,-4.327
34,140,-4.327
34,145,-4.327
34,150,-4.327
34,155,-4.327
34,160,-4.327
34,165,-4.327
34,170,-4.327
34,175,-4.327
34,180,-4.327
34,185,-4.327
34,190,-4.327
34,195,-4.327
34,200,-4.327
34,205,-4.327
34,210,-4.327
34,215,-4.327
34,220,-4.327
34,225,-4.327
34,230,-4.327
34,235,-4.327
34,240,-4.327
34,245,-4.327
34,250,-4.327
34,255,-4.327
34,260,-4.327
34,265,-4.327
34,270,-4.327
34,275,-4.327
34,280,-4.327
34,285,-4.327
34,290,-4.327
34,295,-4.327
34,300,-4.327
34,305,-4.327
34,310,-4.327
34,315,-4.327
34,320,-4.327
34,325,-4.327
34,330,-4.327
34,335,-4.327
34,340,-4.327
34,345,-4.327
34,350,-4.327
34,355,-4.327
34,360,-4.327
36,0,-3.824
36,5,-3.824
36,10,-3.824
36,15,-3.824
36,20,-3.824
36,25,-3.824
36,30,-3.824
36,35,-3.824
36,40,-3.824
36,45,-3.824
36,50,-3.824
36,55,-3.824
36,60,-3.824
36,65,-3.824
36,70,-3.824
36,75,-3.824
36,80,-3.824
36,85,-3.824
36,90,-3.824
36,95,-3.824
36,100,-3.824
36,105,-3.824
36,110,-3.824
36,115,-3.824
36,120,-3.824
36,125,-3.824
36,130,-3.824
36,135,-3.824
36,140,-3.824
36,145,-3.824
36,150,-3.824
36,155,-3.824
36,160,-3.824
36,165,-3.824
36,170,-3.824
36,175,-3.824
36,180,-3.824
36,185,-3.824
36,190,-3.824
36,195,-3.824
36,200,-3.824
36,205,-3.824
36,210,-3.824
36,215,-3.824
36,220,-3.824
36,225,-3.824
36,230,-3.824
36,235,-3.824
36,240,-3.824
36,245,-3.824
36,250,-3.824
36,255,-3.824
36,260,-3.824
36,265,-3.824
36,270,-3.824
36,275,-3.824
36,280,-3.824
36,285,-3.824
36,290,-3.824
36,295,-3.824
36,300,-3.824
36,305,-3.824
36,310,-3.824
36,315,-3.824
36,320,-3.824
36,325,-3.824
36,330,-3.824
36,335,-3.824
36,340,-3.824
36,345,-3.824
36,350,-3.824
36,355,-3.824
36,360,-3.824
38,0,-3.351
38,5,-3.351
38,10,-3.351
38,15,-3.351
38,20,-3.351
38,25,-3.351
38,30,-3.351
38,35,-3.351
38,40,-3.351
38,45,-3.351
38,50,-3.351
38,55,-3.351
38,60,-3.351
38,65,-3.351
38,70,-3.351
38,75,-3.351
38,80,-3.351
38,85,-3.351
38,90,-3.351
38,95,-3.351
38,100,-3.351
38,105,-3.351
38,110,-3.351
38,115,-3.351
38,120,-3.351
38,125,-3.351
38,130,-3.351
38,135,-3.351
38,140,-3.351
38,145,-3.351
38,150,-3.351
38,155,-3.351
38,160,-3.351
38,165,-3.351
38,170,-3.351
38,175,-3.351
38,180,-3.351
38,185,-3.351
38,190,-3.351
38,195,-3.351
38,200,-3.351
38,205,-3.351
38,210,-3.351
38,215,-3.351
38,220,-3.351
38,225,-3.351
38,230,-3.351
38,235,-3.351
38,240,-3.351
38,245,-3.351
38,250,-3.351
38,255,-3.351
38,260,-3.351
38,265,-3.351
38,270,-3.351
38,275,-3.351
38,280,-3.351
38,285,-3.351
38,290,-3.351
38,295,-3.351
38,300,-3.351
38,305,-3.351
38,310,-3.351
38,315,-3.351
38,320,-3.351
38,325,-3.351
38,330,-3.351
38,335,-3.351
38,340,-3.351
38,345,-3.351
38,350,-3.351
38,355,-3.351
38,360,-3.351
40,0,-2.904
40,5,-2.904
40,10,-2.904
40,15,-2.904
40,20,-2.904
40,25,-2.904
40,30,-2.904
40,35,-2.904
40,40,-2.904
40,45,-2.904
40,50,-2.904
40,55,-2.904
40,60,-2.904
40,65,-2.904
40,70,-2.904
40,75,-2.904
40,80,-2.904
40,85,-2.904
40,90,-2.904
40,95,-2.904
40,100,-2.904
40,105,-2.904
40,110,-2.904
40,115,-2.904
40,120,-2.904
40,125,-2.904
40,130,-2.904
40,135,-2.904
40,140,-2.904
40,145,-2.904
40,150,-2.904
40,155,-2.904
40,160,-2.904
40,165,-2.904
40,170,-2.904
40,175,-2.904
40,180,-2.904
40,185,-2.904
40,190,-2.904
40,195,-2.904
40,200,-2.904
40,205,-2.904
40,210,-2.904
40,215,-2.904
40,220,-2.904
40,225,-2.904
40,230,-2.904
40,235,-2.904
40,240,-2.904
40,245,-2.904
40,250,-2.904
40,255,-2.904
40,260,-2.904
40,265,-2.904
40,270,-2.904
40,275,-2.904
40,280,-2.904
40,285,-2.904
40,290,-2.904
40,295,-2.904
40,300,-2.904
40,305,-2.904
40,310,-2.904
40,315,-2.904
40,320,-2.904
40,325,-2.904
40,330,-2.904
40,335,-2.904
40,340,-2.904
40,345,-2.904
40,350,-2.904
40,355,-2.904
40,360,-2.904
42,0,-2.483
42,5,-2.483
42,10,-2.483
42,15,-2.483
42,20,-2.483
42,25,-2.483
42,30,-2.483
42,35,-2.483
42,40,-2.483
42,45,-2.483
42,50,-2.483
42,55,-2.483
42,60,-2.483
42,65,-2.483
42,70,-2.483
42,75,-2.483
42,80,-2.483
42,85,-2.483
42,90,-2.483
42,95,-2.483
42,100,-2.483
42,105,-2.483
42,110,-2.483
42,115,-2.483
42,120,-2.483
42,125,-2.483
42,130,-2.483
42,135,-2.483
42,140,-2.483
42,145,-2.483
42,150,-2.483
42,155,-2.483
42,160,-2.483
42,165,-2.483
42,170,-2.483
42,175,-2.483
